course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
ECE 179D,BYL K A,Spring,2024,6,1,0,0,0,15,0,3.48,0,ECE,0,0,2,2,3,0,1,0,0,0,0,"INTRODUCTION TO ROBOTICS: DYNAMICS AND CONTROL

",4,"ECE 130A or ME 155A (may be taken concurrently).
","Dynamic modeling and control methods for robotic systems. LaGrangian method for deriving equations of motion, introduction to the Jacobian, and modeling and control of forces and contact dynamics at a robotic end effector. Laboratories encourage a problem-solving approach to control.",4.1/5,Excellent project guidance and real-world engineering experience. Helps students develop professional skills.,15,82%,3.6
ECE 180,QIN YAO,Spring,2024,28,4,0,0,0,79,0,3.718987342,0,ECE,0,0,9,1,0,2,0,2,6,0,0,INTRODUCTION TO DEEP LEARNING,4,"Open to EE, Computer Engineering and Computer Science with upper-division standing.
","Introduction to multilayered neural networks, early models of perceptrons and associative memory; back-propagation learning; convolutional neural networks; recurrent neural networks; attention models; applications to natural language processing and computer vision.
",3.9/5,Clear teaching style with good examples. Course material is challenging but well-structured.,14,80%,3.7
ECE 183,MEZIC I,Spring,2024,3,1,0,0,0,5,0,3.8,0,ECE,0,0,1,0,0,0,0,0,0,0,0,"Nonlinear Phenomena
",4,Physics 105A or Physics 103; or ME 163 or upper-division standing in ECE.,"An introduction to nonlinear phenomena. Flows and bifurcations in one and two dimensions, chaos, fractals, strange attractors. Applications to physics, engineering, chemistry, and biology.",4.2/5,Professor explains complex quantum concepts clearly. Challenging material but good support during office hours.,16,85%,4
ECE 184,SEN P,Spring,2024,8,4,2,1,0,33,0,3.454545455,0,ECE,0,0,6,0,1,0,9,2,0,0,0,"Introduction to Video Game Development
",4,"CS 130A and CS 130B or significant programming experience in large software systems.

","Introduction to game design, video game architectures, large-scale software design patterns,
game aesthetics, user interface design, and playtesting, all within the Unity3D framework.
Quarter culminates in a high-quality video game suitable for public release. Pre-requisite for
the advanced game-development sequence.",4.1/5,Well-organized lectures with practical security examples. Good balance of theory and implementation.,20,83%,3.5
ECE 188C,BEN-YAACOV I,Spring,2024,36,2,0,1,0,60,0,3.823333333,0,ECE,0,0,13,3,0,0,3,2,0,0,0,"Senior Electrical Engineering Project
",4,"ECE 188B with a minimum grade of C-.

","Student groups design a significant project based on the knowledge and skills acquired in earlier coursework and integrate their technical knowledge through a practical design experience. The project is evaluated through written reports, oral presentations, and demonstrations of performance.
",4.2/5,Knowledgeable instructor who provides good practical examples. Course is challenging but well-structured.,15,86%,3.9
ECE 188C,CHENEY C R,Spring,2024,36,2,0,1,0,60,0,3.823333333,0,ECE,0,0,13,3,0,0,3,2,0,0,0,"Senior Electrical Engineering Project
",4,"ECE 188B with a minimum grade of C-.
","Student groups design a significant project based on the knowledge and skills acquired in earlier coursework and integrate their technical knowledge through a practical design experience. The project is evaluated through written reports, oral presentations, and demonstrations of performance.",4.1/5,Effective teaching style with clear explanations. Good balance of theory and practical implementation.,19,84%,3.7
ECE 189C,ISUKAPALLI Y,Spring,2024,23,3,1,0,0,59,0,3.749152542,0,ECE,0,0,1,0,8,0,0,1,4,0,0,"Senior Computer Systems Project
",4,"ECE 189B with a minimum grade of a C- or better ; senior standing in Computer Engineering, Computer Science, or EE.

","Student groups design a significant computer-based project. The focus in this course will be on the integration of both hardware and software components. Students continue to work in groups. Apart from project reports and presentations, the evaluation will be based on successful demonstration of both hardware and software aspects of the project.",4.2/5,Clear explanations of complex architectural concepts. Assignments reinforce understanding of advanced topics.,18,85%,3.8
ENGR 3,MOEHLIS J M,Spring,2024,45,9,2,0,0,138,0,3.751449275,0,ENGR,0,0,5,1,6,4,0,1,7,4,0,"Introduction to Programming
",4,"None.
","General philosophy of programming and problem-solving. Students will be introduced to the programming language MATLAB. Specific areas of study will include algorithms, basic decision structures, arrays, matrices, and graphing.
",4.3/5,Engaging lecturer who makes programming concepts accessible to beginners. Well-structured course with helpful examples.,22,88%,2.9
ENGR 101,HOUGH K C,Spring,2024,10,3,4,0,0,122,0,3.827049181,0,ENGR,0,0,0,1,1,1,9,1,0,0,0,Ethics in Engineering,4,"Senior standing in engineering.
","The nature of moral value, normative judgment and moral reasoning. Theories of moral value. The engineer's role in society. Ethics in professional practice. Safety, risk, responsibility. Morality and career choice. Code of ethics. Case studies facilitate the comprehension of the concepts introduced.
",4.2/5,Engages students in meaningful discussions about engineering ethics. Makes complex ethical concepts relatable.,16,90%,2.7
CMPSC 281B,WANG Y F,Spring,2024,13,2,0,0,0,15,0,3.866666667,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,Advanced Topics in computer vision,4,"ECE OR CMPSC 181

","Advanced topics in computer vision: image sequence analysis, spatio-temporal filtering, camera calibration and hand-eye coordination, robot navigation, shape representation, physically-based modeling, regularization theory, multi-sensory fusion, biological models, expert vision systems, and other topics selected from recent research papers.
",4.1/5,Strong technical knowledge with clear explanations. Projects provide valuable hands-on experience.,15,82%,3.8
CMPSC 291I,HOLLERER T,Spring,2024,12,0,1,0,0,26,0,3.773076923,0,CMPSC,0,0,0,0,0,0,1,3,0,0,0,"Special Topics in Computer Science, Applications, Visual Computing and Interaction",4,"None.
",These courses provide for the study of topics of current interest in computer science applications.,4.5/5,Excellent researcher who brings cutting-edge ML concepts to the classroom. Challenging but rewarding course.,28,92%,4
CMPSC 291K,GUO W,Spring,2024,13,0,0,0,0,35,0,3.894285714,0,CMPSC,0,0,1,5,4,0,0,3,0,0,0,Advanced Topics in Natural Language Processing,4,"None.
","These courses provide for the study of topics of current interest in computer science applications. Topics are coded as follows: A. Applications, General; D. Database and Information Systems; G. Security and Cryptography; H. Computational Science and Engineering; I. Visual Computing and Interaction; K. Machine Learning and Data Mining.",4.3/5,Deep knowledge of the field with excellent research guidance. Stays current with latest developments.,16,85%,3.9
CMPSC 292C,FENG YU,Spring,2024,10,0,0,0,0,17,0,3.947058824,0,CMPSC,0,0,4,0,0,0,3,0,0,0,0,"Special Topics in Computer Science, Foundations, Programming Languages and Software Engineering",4,"None.

",These courses provide for the study of topics of current interest in computer science foundations.,3.9/5,Clear explanations of complex security concepts. Good balance of theory and practical applications.,12,78%,3.8
CMPSC 292F,YAN L,Spring,2024,7,1,0,0,0,20,0,3.7,0,CMPSC,0,0,2,5,0,0,5,0,0,0,0,"Special Topics in Computer Science, Foundations, General
",4,None.,"These courses provide for the study of topics of current interest in computer science foundations.
",4.1/5,Strong theoretical foundation with clear explanations. Challenging but well-structured course.,14,82%,4
CMPSC 292G,ANANTH P V,Spring,2024,2,2,0,0,0,24,0,4,0,CMPSC,0,0,2,0,0,0,0,0,0,0,0,"Special Topics in Computer Science, Foundations
",4,None.,"These courses provide for the study of topics of current interest in computer science foundations. Topics are coded as follows: C, Programming Languages and Software Engineering; F. Foundations, General; G. Security and Cryptography; H. Computational Science and Engineering.
",4.2/5,Expert knowledge in programming languages. Research-oriented approach with good theoretical foundation.,15,85%,3.9
CMPSC 293N,GUPTA A,Spring,2024,5,0,0,0,0,24,0,3.9375,0,CMPSC,0,0,1,4,0,0,0,5,0,0,0,"Special Topics in Computer Science, Foundations
",4,None.,"These courses provide for the study of topics of current interest in computer science systems. Topics are coded as follows: B. Operating Systems and Distributed Systems; C, Programming Languages and Software Engineering; D. Database and Information Systems; E. Computer Architecture and Embedded Systems; G. Security and Cryptography; K. Machine Learning and Data Mining; N. Networking; S. Systems, General",4.4/5,Excellent at explaining complex systems concepts. Good balance of theory and implementation.,18,88%,3.8
CMPSC 293S,NIU M Y,Spring,2024,5,0,0,0,0,8,0,3.9625,0,CMPSC,0,0,2,0,0,0,1,0,0,0,0,"Special Topics in Computer Science, Systems, General
",4,None.,These courses provide for the study of topics of current interest in computer science systems.,4.3/5,Makes complex speech processing concepts accessible. Research-oriented with practical applications.,10,85%,3.9
CMPSC 502,LOKSHTANOV D,Spring,2024,0,0,0,0,0,0,0,0,0,CMPSC,4,1,0,0,0,0,0,0,0,0,0,Teaching of Computer Science,4,"Computer Science 501.
","Procedures and techniques for teaching computer science gained through actual teaching of lecture courses, leading discussion sections, and/or teaching laboratories. Meetings will be held as needed to discuss problems,methods, and procedures.",4.0/5,Provides excellent guidance for new teaching assistants. Practical teaching strategies and techniques.,12,80%,2.5
CMPSC 595N,BALKIND J M,Spring,2024,0,0,0,0,0,0,0,0,0,CMPSC,2,6,0,0,0,0,0,0,0,0,0,Individual Studies in Computer Science,4,"Consent of instructor.
",Special seminars focusing on topics of interest to faculty and graduate students. These seminars provide critical review of research in various areas of computer science.,4.2/5,Good research mentor who provides valuable guidance. Helps students develop research skills.,18,85%,3
ECE 217,PALMSTROM C J,Spring,2024,3,1,1,0,0,5,0,3.4,0,ECE,0,0,0,0,0,0,0,0,0,0,0,Molecular Beam Epitaxy and Band Gap Engineering,4,"MATRL 162A-B or ECE 162A-B.
",Fundamentals and recent research developmnets in the growth and properties of thin crystalline films of electronic and optical materials bythe process of molecular beam epitaxy. Artificially structured materials with quantized electron confinement and artificially engineered electronic band structure properties.,4.2/5,Expert in semiconductor physics. Provides comprehensive coverage of advanced topics.,16,82%,4.1
ECE 271A,MOSTOFI Y C,Spring,2024,11,0,0,0,0,11,0,4,0,ECE,0,0,0,0,0,0,0,0,0,0,0,Principles of Optimization,4,"ECE 210A (may be taken concurrently).

","Linear programming: simplex and revised simplex method, duality theory, primal-dual algorithms, Karmarkar's algorithm. Network flow problems: max-flow/min-cut theorem, Ford-Fulkerson algorithm, shortest path algorithms. Complexity and NP-completeness theory: the classes of P and NP,reductions between np-complete problems, pseudopolynomial and approximationalgorithms.",4.4/5,Excellent at explaining complex optimization concepts. Well-structured course.,20,88%,4
